"path_id","criteria","criteria_item","hr_os","selog_hr_os","ae","number_of_patients","ease","g_index","pareto_os","sucra_os"
"C280","Hemoglobin, ALT_AST, HIV_v2","4, 5, 9",0.848158376670437,0.0787278899296486,0.211959739490823,1967,0.00300446686251421,0.477801712891192,0,2.7231560331816
"C1659","ECOG, ANC, Hemoglobin, ALT_AST, Total_bilirubin, Creatinine_v5, Hepatitis_B_C, Autoimmune_disease","1, 2, 4, 5, 6, 7, 10, 11",0.847812621985193,0.135123562056039,0.222376650451703,1668,0.0959148007316379,0.484019479828859,0,2.72207788629273
"C117","ECOG, Platelets, ALT_AST, Total_bilirubin, Creatinine_v5","1, 3, 5, 6, 7",0.847801171628122,0.0851475623289778,0.222977566281441,1704,0.0458489435558376,0.474789674709013,0,2.72060254282028
"C1109","ECOG, Platelets, ALT_AST, Creatinine_v5, Autoimmune_disease","1, 3, 5, 7, 11",0.847709991544409,0.0843842788434534,0.222071767095464,1710,0.0414672244442931,0.475990412233205,0,2.72043457703254
"C344","Hemoglobin, ALT_AST, Creatinine_v5, HIV_v2","4, 5, 7, 9",0.848158376670437,0.0787278899296486,0.211959739490823,1967,0.00300446686251421,0.477801712891192,0,2.71994299129773
"C37","ECOG, Platelets, Total_bilirubin","1, 3, 6",0.848901962113342,0.0838784907928613,0.224311618535931,1724,0.0550258416348426,0.481588690094927,0,2.71826890296649
"C282","ANC, Hemoglobin, ALT_AST, HIV_v2","2, 4, 5, 9",0.847161424013841,0.0787342843729316,0.211150652431792,1960,0.00447976904396175,0.478347086471879,0,2.7180821766021
"C1539","ECOG, ANC, Hepatitis_B_C, Autoimmune_disease","1, 2, 10, 11",0.847125055664054,0.0827520735073854,0.221635883905013,1757,0.0434345065626918,0.477474263881777,0,2.7180645885615
"C1460","Platelets, ALT_AST, Total_bilirubin, CNS_metastasis, HIV_v2, Autoimmune_disease","3, 5, 6, 8, 9, 11",0.84745519918336,0.0940845446631534,0.21000581733566,1992,0.0450628434027909,0.463561694579387,0,2.7177632467992
"C1595","ECOG, ANC, Hemoglobin, ALT_AST, Total_bilirubin, Hepatitis_B_C, Autoimmune_disease","1, 2, 4, 5, 6, 10, 11",0.847812621985193,0.135123562056039,0.222376650451703,1668,0.0959148007316379,0.484019479828859,0,2.71747949307749
"C301","ECOG, Platelets, Hemoglobin, Total_bilirubin, HIV_v2","1, 3, 4, 6, 9",0.848819841596456,0.0932447830331017,0.222921034241789,1657,0.0405658459595686,0.492835808685595,0,2.71713711255379
"C1147","ECOG, ANC, Hemoglobin, ALT_AST, Total_bilirubin, Creatinine_v5, Autoimmune_disease","1, 2, 4, 5, 6, 7, 11",0.847812621985193,0.135123562056039,0.222376650451703,1668,0.0959148007316379,0.484019479828859,0,2.71568023652397
"C1972","Platelets, ALT_AST, Total_bilirubin, CNS_metastasis, HIV_v2, Hepatitis_B_C, Autoimmune_disease","3, 5, 6, 8, 9, 10, 11",0.84745519918336,0.0940845446631534,0.21000581733566,1992,0.0450628434027909,0.463561694579387,0,2.71541289830683
"C1370","ANC, Hemoglobin, ALT_AST, Creatinine_v5, HIV_v2, Autoimmune_disease","2, 4, 5, 7, 9, 11",0.847525344590786,0.0790876252396897,0.211401425178148,1956,0.0209166503225098,0.477634025998149,0,2.71508869209174
"C1325","ECOG, Platelets, Hemoglobin, Total_bilirubin, HIV_v2, Autoimmune_disease","1, 3, 4, 6, 9, 11",0.846883720340527,0.0857367357210293,0.223076923076923,1655,0.0295502903887135,0.493187481730164,0,2.71483366550302
"C1290","ANC, Hemoglobin, HIV_v2, Autoimmune_disease","2, 4, 9, 11",0.849177788019376,0.0780987013545861,0.211943793911007,1988,0.0207498008493587,0.480955491111115,0,2.71472549905332
"C1031","ECOG, ANC, Platelets, Autoimmune_disease","1, 2, 3, 11",0.84738909874922,0.0837509342003352,0.222222222222223,1728,0.0433942182878964,0.481372619483771,0,2.71457218996608
